time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-02-22T02:32:48.476Z,-11.9711,165.4755,36.09,4.9,mb,,103,5.987,0.81,us,us70007ulg,2020-02-22T02:50:56.040Z,"144km SSW of Lata, Solomon Islands",earthquake,11.4,8.2,0.076,55,reviewed,us,us
2020-02-21T22:54:24.847Z,-5.1177,102.7216,35,4.9,mb,,106,0.787,1.28,us,us70007ui7,2020-02-22T00:41:24.040Z,"115km W of Kuripan, Indonesia",earthquake,6.7,1.9,0.077,52,reviewed,us,us
2020-02-21T15:39:15.006Z,39.7232,77.4224,10,4.9,mb,,99,2.024,0.97,us,us70007u7m,2020-02-21T15:53:12.040Z,"111km E of Arzak, China",earthquake,5,1.9,0.104,29,reviewed,us,us
2020-02-21T12:35:45.577Z,6.8183,-73.0089,158.1,4.6,mb,,62,2.355,1.06,us,us70007u4y,2020-02-21T21:41:46.630Z,"13km N of Aratoca, Colombia",earthquake,7.8,9.6,0.037,217,reviewed,us,us
2020-02-21T10:34:05.555Z,3.4132,-79.3671,10,4.8,mb,,138,3.284,1.24,us,us70007u3c,2020-02-21T10:52:31.040Z,"142km NW of Mosquera, Colombia",earthquake,3.7,1.9,0.032,305,reviewed,us,us
2020-02-21T10:24:33.286Z,50.9937,-179.3438,10,4.6,mb,,195,0.935,0.66,us,us70007u3w,2020-02-21T20:03:27.243Z,"34km SSW of Amatignak Island, Alaska",earthquake,10.6,2,0.058,90,reviewed,us,us
2020-02-21T10:20:15.230Z,50.9565,-179.3096,10,5.2,mww,,119,0.674,1.1,us,us70007u2w,2020-02-27T10:30:23.008Z,"36km SSW of Amatignak Island, Alaska",earthquake,2,1.8,0.078,16,reviewed,us,us
2020-02-21T06:44:47.789Z,-9.2227,-79.2645,47.73,4.8,mb,,138,3.635,0.91,us,us70007u0y,2020-02-25T04:35:27.195Z,"72km WSW of Puerto Santa, Peru",earthquake,10.6,7.4,0.04,199,reviewed,us,us
2020-02-21T02:13:10.716Z,-9.5965,120.6269,82.94,4.5,mb,,95,1.855,0.8,us,us600084qw,2020-02-27T01:14:13.040Z,"32km N of Praimarada, Indonesia",earthquake,8.1,5.6,0.191,9,reviewed,us,us
2020-02-21T01:48:19.138Z,17.5037,-100.2268,62.91,4.7,mb,,180,1.585,1.1,us,us70007typ,2020-02-22T17:58:46.226Z,"38km SW of Tlacotepec, Mexico",earthquake,11.3,8.9,0.03,347,reviewed,us,us
2020-02-21T00:57:18.236Z,-7.4707,107.6526,67.11,4.6,mb,,71,0.008,1.35,us,us70007ty9,2020-02-22T00:37:41.842Z,"1km SE of Rahayu, Indonesia",earthquake,6.6,3.4,0.097,32,reviewed,us,us
2020-02-20T20:24:28.512Z,-6.7432,129.6245,163.21,5.4,mww,,24,2.067,1.01,us,us70007tt3,2020-02-26T23:18:00.407Z,"229km NW of Saumlaki, Indonesia",earthquake,6.8,4,0.047,44,reviewed,us,us
2020-02-20T18:57:36.409Z,53.7091,160.7012,33.44,5.8,mww,,68,1.408,0.95,us,us70007trb,2020-02-26T23:13:05.961Z,"155km ENE of Petropavlovsk-Kamchatskiy, Russia",earthquake,8,3,0.055,32,reviewed,us,us
2020-02-20T18:11:03.085Z,34.5594,85.7892,10,4.6,mb,,58,6.638,1.13,us,us70007tp0,2020-02-26T22:43:35.040Z,"294km NNE of Luring, China",earthquake,8.5,1,0.065,71,reviewed,us,us
2020-02-20T18:01:35.321Z,34.5205,85.7,10,5.1,mb,,61,6.61,0.88,us,us70007tnv,2020-02-26T22:40:34.416Z,"286km NNE of Luring, China",earthquake,7.8,1.8,0.043,179,reviewed,us,us
2020-02-20T17:35:35.589Z,29.7617,140.4757,129.05,4.6,mb,,98,3.052,1,us,us70007tm3,2020-02-26T22:01:21.040Z,"Izu Islands, Japan region",earthquake,7.6,5.7,0.042,173,reviewed,us,us
2020-02-20T14:10:06.311Z,-1.3944,-103.6587,10,4.8,mb,,160,19.495,0.51,us,us70007tjg,2020-02-20T15:02:37.040Z,Central East Pacific Rise,earthquake,10.7,1.9,0.035,247,reviewed,us,us
2020-02-20T12:33:06.328Z,28.4625,142.6881,24.67,4.5,mb,,163,1.432,0.72,us,us600084p9,2020-02-27T09:56:54.040Z,"159km NNE of Chichi-shima, Japan",earthquake,10.7,6.8,0.14,15,reviewed,us,us
2020-02-20T09:54:07.045Z,5.6229,125.5728,201.04,5.4,mww,,43,1.437,1.03,us,us70007th0,2020-02-21T09:56:20.135Z,"13km SE of Kalbay, Philippines",earthquake,7.9,6.3,0.08,15,reviewed,us,us
