STATION,NAME,DATE,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/20/1939,1939,1,20.00,,24,7
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/21/1939,1939,1,21.00,,26,9
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/22/1939,1939,1,22.00,,35,3
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/23/1939,1939,1,23.00,,20,-3
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/24/1939,1939,1,24.00,,34,15
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/25/1939,1939,1,25.00,,30,1
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/26/1939,1939,1,26.00,,8,-7
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/27/1939,1939,1,27.00,,17,-8
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/28/1939,1939,1,28.00,,33,10
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/29/1939,1939,1,29.00,,35,27
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/30/1939,1939,1,30.00,,31,13
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",1/31/1939,1939,1,31.00,,19,11
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",2/1/1939,1939,2,1.00,,29,0
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",2/2/1939,1939,2,2.00,,34,9
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",2/3/1939,1939,2,3.00,,36,30
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",2/4/1939,1939,2,4.00,,30,17
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",2/5/1939,1939,2,5.00,,27,6
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",2/6/1939,1939,2,6.00,,27,-1
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",2/7/1939,1939,2,7.00,,32,23
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",2/8/1939,1939,2,8.00,,39,20
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",2/9/1939,1939,2,9.00,,39,12
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",2/10/1939,1939,2,10.00,,37,12
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",2/11/1939,1939,2,11.00,,37,16
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",2/12/1939,1939,2,12.00,,29,6
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",2/13/1939,1939,2,13.00,,43,8
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",2/14/1939,1939,2,14.00,,42,1
USW00014735,"ALBANY INTERNATIONAL AIRPORT, NY US",2/15/1939,1939,2,15.00,,51,25
