"","Year","CO2_ppm"
"363",1989.2,353.8
"364",1989.28493150685,355.59
"365",1989.36712328767,355.89
"366",1989.45205479452,355.3
"367",1989.53424657534,353.98
"368",1989.61917808219,351.53
"369",1989.70410958904,350.02
"370",1989.78630136986,350.29
"371",1989.87123287671,351.44
"372",1989.95342465753,352.84
"373",1990.03835616438,353.79
"374",1990.12328767123,354.88
"375",1990.2,355.65
"376",1990.28493150685,356.28
"377",1990.36712328767,357.29
"378",1990.45205479452,356.32
"379",1990.53424657534,354.88
"380",1990.61917808219,352.89
"381",1990.70410958904,351.28
"382",1990.78630136986,351.59
"383",1990.87123287671,353.05
"384",1990.95342465753,354.27
"385",1991.03835616438,354.87
"386",1991.12328767123,355.68
"387",1991.2,357.06
"388",1991.28493150685,358.51
"389",1991.36712328767,359.09
"390",1991.45205479452,358.1
"391",1991.53424657534,356.12
"392",1991.61917808219,353.89
"393",1991.70410958904,352.3
"394",1991.78630136986,352.32
"395",1991.87123287671,353.79
"396",1991.95342465753,355.07
"397",1992.03825136612,356.17
"398",1992.12295081967,356.93
"399",1992.20218579235,357.82
"400",1992.2868852459,359
"401",1992.36885245902,359.55
"402",1992.45355191257,359.32
"403",1992.53551912568,356.85
"404",1992.62021857923,354.91
"405",1992.70491803279,352.93
"406",1992.7868852459,353.31
"407",1992.87158469945,354.27
"408",1992.95355191257,355.53
"409",1993.03835616438,356.86
"410",1993.12328767123,357.27
"411",1993.2,358.36
"412",1993.28493150685,359.27
"413",1993.36712328767,360.19
"414",1993.45205479452,359.52
"415",1993.53424657534,357.42
"416",1993.61917808219,355.46
"417",1993.70410958904,354.1
"418",1993.78630136986,354.12
"419",1993.87123287671,355.4
"420",1993.95342465753,356.84
"421",1994.03835616438,358.22
"422",1994.12328767123,358.98
"423",1994.2,359.91
"424",1994.28493150685,361.32
"425",1994.36712328767,361.68
"426",1994.45205479452,360.8
"427",1994.53424657534,359.39
"428",1994.61917808219,357.42
"429",1994.70410958904,355.63
"430",1994.78630136986,356.09
"431",1994.87123287671,357.56
"432",1994.95342465753,358.87
"433",1995.03835616438,359.87
"434",1995.12328767123,360.79
"435",1995.2,361.77
"436",1995.28493150685,363.23
"437",1995.36712328767,363.77
"438",1995.45205479452,363.22
"439",1995.53424657534,361.7
"440",1995.61917808219,359.11
"441",1995.70410958904,358.11
"442",1995.78630136986,357.97
