Year,Month,Precip_inches,state_cd
1967,7,6.91,AL
1967,8,6.76,AL
1967,9,3.36,AL
1967,10,4.01,AL
1967,11,3.76,AL
1967,12,8.31,AL
1968,1,4.62,AL
1968,2,1.87,AL
1968,3,3.65,AL
1968,4,5.05,AL
1968,5,4.01,AL
1968,6,1.85,AL
1968,7,5.26,AL
1968,8,3.69,AL
1968,9,2.73,AL
1968,10,1.37,AL
1968,11,4.31,AL
1968,12,6.8,AL
1969,1,3.59,AL
1969,2,4.25,AL
1969,3,5.12,AL
1969,4,5.43,AL
1969,5,5.99,AL
1969,6,2.43,AL
1969,7,5.46,AL
1969,8,4.96,AL
1969,9,4.42,AL
1969,10,2.58,AL
1969,11,1.9,AL
1969,12,6.44,AL
1970,1,3.19,AL
1970,2,3.75,AL
1970,3,7.73,AL
1970,4,4.74,AL
1970,5,3.17,AL
1970,6,5.91,AL
1970,7,4.05,AL
1970,8,6.24,AL
1970,9,1.86,AL
1970,10,6.33,AL
1970,11,2.2,AL
1970,12,4.72,AL
1971,1,4.08,AL
1971,2,7.78,AL
1971,3,8.79,AL
1971,4,4.04,AL
1971,5,4.07,AL
1971,6,3.74,AL
1971,7,7.41,AL
1971,8,4.05,AL
1971,9,4.81,AL
1971,10,1.09,AL
1971,11,2.49,AL
1971,12,7.72,AL
1972,1,8.52,AL
1972,2,3.56,AL
1972,3,5.93,AL
1972,4,2.39,AL
1972,5,4.44,AL
1972,6,4.57,AL
1972,7,4.51,AL
1972,8,2.42,AL
1972,9,3.78,AL
1972,10,2.95,AL
1972,11,4.66,AL
1972,12,8.23,AL
1973,1,5.9,AL
1973,2,3.99,AL
1973,3,11.78,AL
1973,4,6.87,AL
1973,5,6.69,AL
1973,6,5.56,AL
1973,7,5.45,AL
1973,8,3.62,AL
1973,9,3.77,AL
1973,10,1.89,AL
1973,11,4.95,AL
1973,12,6.7,AL
1974,1,8.2,AL
1974,2,5.21,AL
1974,3,3.92,AL
1974,4,5.9,AL
1974,5,5.08,AL
1974,6,4.07,AL
1974,7,4.39,AL
1974,8,6,AL
1974,9,6.52,AL
1974,10,1.27,AL
1974,11,3.94,AL
1974,12,5.9,AL
1975,1,6.65,AL
1975,2,7.17,AL
1975,3,8.63,AL
1975,4,6.77,AL
1975,5,5.24,AL
1975,6,5.25,AL
1975,7,8.22,AL
1975,8,5.56,AL
1975,9,6.72,AL
1975,10,6.55,AL
1975,11,3.27,AL
1975,12,4.73,AL
1976,1,4.46,AL
1976,2,2.63,AL
1976,3,10.45,AL
1976,4,1.68,AL
1976,5,8.08,AL
1976,6,4.36,AL
1976,7,4.52,AL
1976,8,3.33,AL
1976,9,3.74,AL
1976,10,3.66,AL
1976,11,4.41,AL
1976,12,4.66,AL
1977,1,4.95,AL
1977,2,3.56,AL
1977,3,9.86,AL
1977,4,4.32,AL
1977,5,2.13,AL
1977,6,2.63,AL
1977,7,5.09,AL
1977,8,4.27,AL
1977,9,7.02,AL
1977,10,4.51,AL
1977,11,6.31,AL
1977,12,3.22,AL
1978,1,7.09,AL
1978,2,1.9,AL
1978,3,3.99,AL
1978,4,3.83,AL
1978,5,8.2,AL
1978,6,5.06,AL
1978,7,4.3,AL
1978,8,4.07,AL
1978,9,2,AL
1978,10,0.46,AL
1978,11,3.3,AL
1978,12,5.3,AL
1979,1,7.68,AL
1979,2,6.61,AL
1979,3,6.64,AL
