Date,Year,Month,Precip_inches,Anomaly_inches,state_cd
193708,1937,08,5.05,0.71,AL
193709,1937,09,4.11,0.33,AL
193710,1937,10,5.95,3.12,AL
193711,1937,11,3.4,-0.45,AL
193712,1937,12,2.84,-2.31,AL
193801,1938,01,3.47,-1.71,AL
193802,1938,02,1.98,-3.2,AL
193803,1938,03,6.18,0.02,AL
193804,1938,04,9.6,4.79,AL
193805,1938,05,3.32,-0.92,AL
193806,1938,06,4.47,0.19,AL
193807,1938,07,7.66,2.22,AL
193808,1938,08,3.9,-0.44,AL
193809,1938,09,1.33,-2.45,AL
193810,1938,10,0.38,-2.45,AL
193811,1938,11,3.38,-0.47,AL
193812,1938,12,2.79,-2.36,AL
193901,1939,01,4.78,-0.4,AL
193902,1939,02,10.11,4.93,AL
193903,1939,03,5.01,-1.15,AL
193904,1939,04,3.49,-1.32,AL
193905,1939,05,5.67,1.43,AL
193906,1939,06,6.7,2.42,AL
193907,1939,07,4.97,-0.47,AL
193908,1939,08,10.31,5.97,AL
193909,1939,09,3.88,0.1,AL
193910,1939,10,0.43,-2.4,AL
193911,1939,11,0.86,-2.99,AL
193912,1939,12,3.36,-1.79,AL
194001,1940,01,4.35,-0.83,AL
194002,1940,02,6.91,1.73,AL
194003,1940,03,5.24,-0.92,AL
194004,1940,04,3.7,-1.11,AL
194005,1940,05,3.46,-0.78,AL
194006,1940,06,6.5,2.22,AL
194007,1940,07,8.85,3.41,AL
194008,1940,08,2.95,-1.39,AL
194009,1940,09,1.54,-2.24,AL
194010,1940,10,1.3,-1.53,AL
194011,1940,11,3.56,-0.29,AL
194012,1940,12,6.5,1.35,AL
194101,1941,01,2.72,-2.46,AL
194102,1941,02,2.84,-2.34,AL
194103,1941,03,4.58,-1.58,AL
194104,1941,04,2.88,-1.93,AL
194105,1941,05,0.73,-3.51,AL
194106,1941,06,4.14,-0.14,AL
194107,1941,07,7.97,2.53,AL
194108,1941,08,5.57,1.23,AL
194109,1941,09,2.8,-0.98,AL
194110,1941,10,2.07,-0.76,AL
194111,1941,11,2.63,-1.22,AL
194112,1941,12,7.25,2.1,AL
194201,1942,01,3.46,-1.72,AL
194202,1942,02,4.83,-0.35,AL
194203,1942,03,7.34,1.18,AL
194204,1942,04,1.84,-2.97,AL
194205,1942,05,3.42,-0.82,AL
194206,1942,06,5.49,1.21,AL
194207,1942,07,5,-0.44,AL
194208,1942,08,6.41,2.07,AL
194209,1942,09,4.06,0.28,AL
194210,1942,10,1.99,-0.84,AL
194211,1942,11,1.84,-2.01,AL
194212,1942,12,8.02,2.87,AL
194301,1943,01,4.23,-0.95,AL
194302,1943,02,2.29,-2.89,AL
194303,1943,03,9.91,3.75,AL
194304,1943,04,3.64,-1.17,AL
194305,1943,05,3.78,-0.46,AL
194306,1943,06,3.68,-0.6,AL
194307,1943,07,4.68,-0.76,AL
194308,1943,08,3.9,-0.44,AL
194309,1943,09,4.47,0.69,AL
194310,1943,10,0.81,-2.02,AL
194311,1943,11,3.4,-0.45,AL
194312,1943,12,3.62,-1.53,AL
194401,1944,01,3.61,-1.57,AL
194402,1944,02,7.04,1.86,AL
194403,1944,03,10.85,4.69,AL
194404,1944,04,9.49,4.68,AL
194405,1944,05,2.93,-1.31,AL
194406,1944,06,2.83,-1.45,AL
194407,1944,07,4.31,-1.13,AL
194408,1944,08,6.62,2.28,AL
194409,1944,09,4.94,1.16,AL
194410,1944,10,0.57,-2.26,AL
194411,1944,11,3.58,-0.27,AL
194412,1944,12,3.69,-1.46,AL
194501,1945,01,4.07,-1.11,AL
194502,1945,02,6.97,1.79,AL
194503,1945,03,4.98,-1.18,AL
194504,1945,04,7.61,2.8,AL
194505,1945,05,3.24,-1,AL
194506,1945,06,3.35,-0.93,AL
194507,1945,07,5.89,0.45,AL
194508,1945,08,3.07,-1.27,AL
194509,1945,09,3.59,-0.19,AL
194510,1945,10,3.7,0.87,AL
194511,1945,11,3.46,-0.39,AL
194512,1945,12,6.5,1.35,AL
194601,1946,01,8.37,3.19,AL
194602,1946,02,6.49,1.31,AL
194603,1946,03,8.02,1.86,AL
194604,1946,04,2.86,-1.95,AL
194605,1946,05,7.66,3.42,AL
194606,1946,06,5.51,1.23,AL
194607,1946,07,6.84,1.4,AL
194608,1946,08,4.93,0.59,AL
194609,1946,09,5.88,2.1,AL
194610,1946,10,1.48,-1.35,AL
194611,1946,11,5,1.15,AL
194612,1946,12,2.67,-2.48,AL
194701,1947,01,9.97,4.79,AL
194702,1947,02,1.97,-3.21,AL
194703,1947,03,7.4,1.24,AL
194704,1947,04,6.85,2.04,AL
194705,1947,05,6.04,1.8,AL
194706,1947,06,4.71,0.43,AL
194707,1947,07,3.37,-2.07,AL
194708,1947,08,3.81,-0.53,AL
194709,1947,09,2.61,-1.17,AL
194710,1947,10,1.76,-1.07,AL
194711,1947,11,8.15,4.3,AL
194712,1947,12,4.97,-0.18,AL
194801,1948,01,4.49,-0.69,AL
194802,1948,02,6.28,1.1,AL
194803,1948,03,9.85,3.69,AL
194804,1948,04,3.9,-0.91,AL
194805,1948,05,3.25,-0.99,AL
194806,1948,06,3.52,-0.76,AL
194807,1948,07,6.72,1.28,AL
194808,1948,08,4.01,-0.33,AL
194809,1948,09,4.38,0.6,AL
194810,1948,10,1.54,-1.29,AL
194811,1948,11,15.07,11.22,AL
194812,1948,12,4.63,-0.52,AL
194901,1949,01,7.06,1.88,AL
194902,1949,02,6.26,1.08,AL
194903,1949,03,6.41,0.25,AL
194904,1949,04,5.19,0.38,AL
194905,1949,05,4.29,0.05,AL
194906,1949,06,5.56,1.28,AL
194907,1949,07,6.76,1.32,AL
194908,1949,08,4.65,0.31,AL
194909,1949,09,3.25,-0.53,AL
194910,1949,10,3.05,0.22,AL
194911,1949,11,0.86,-2.99,AL
194912,1949,12,4.02,-1.13,AL
195001,1950,01,4.92,-0.26,AL
195002,1950,02,4.29,-0.89,AL
195003,1950,03,6.72,0.56,AL
195004,1950,04,3.48,-1.33,AL
195005,1950,05,4.17,-0.07,AL
195006,1950,06,3.35,-0.93,AL
195007,1950,07,9.12,3.68,AL
195008,1950,08,5.59,1.25,AL
195009,1950,09,3.83,0.05,AL
195010,1950,10,1.78,-1.05,AL
195011,1950,11,1.78,-2.07,AL
195012,1950,12,4.01,-1.14,AL
195101,1951,01,3.96,-1.22,AL
195102,1951,02,3.39,-1.79,AL
195103,1951,03,9.26,3.1,AL
195104,1951,04,5.02,0.21,AL
195105,1951,05,1.48,-2.76,AL
195106,1951,06,4.68,0.4,AL
195107,1951,07,4.15,-1.29,AL
195108,1951,08,2.24,-2.1,AL
195109,1951,09,5.81,2.03,AL
195110,1951,10,1.72,-1.11,AL
195111,1951,11,3.68,-0.17,AL
195112,1951,12,7.53,2.38,AL
195201,1952,01,3.96,-1.22,AL
195202,1952,02,4.3,-0.88,AL
195203,1952,03,6.59,0.43,AL
195204,1952,04,2.95,-1.86,AL
195205,1952,05,5.3,1.06,AL
195206,1952,06,2.07,-2.21,AL
195207,1952,07,2.23,-3.21,AL
195208,1952,08,6.28,1.94,AL
195209,1952,09,3.21,-0.57,AL
195210,1952,10,1.21,-1.62,AL
195211,1952,11,2.67,-1.18,AL
195212,1952,12,5.93,0.78,AL
195301,1953,01,5.47,0.29,AL
195302,1953,02,7.48,2.3,AL
195303,1953,03,3.7,-2.46,AL
195304,1953,04,7.72,2.91,AL
195305,1953,05,4.49,0.25,AL
195306,1953,06,3.71,-0.57,AL
195307,1953,07,5.94,0.5,AL
195308,1953,08,2.61,-1.73,AL
195309,1953,09,4.77,0.99,AL
195310,1953,10,0.56,-2.27,AL
195311,1953,11,2.62,-1.23,AL
195312,1953,12,10.38,5.23,AL
