C_LabID,SiteID,StateID,Latitude,Longitude,CollDate,LandCover1,LandCover2,C_Depth,C_Pb
C-348492,4588,IL,39.2952,-87.8667,08/16/10,Planted/Cultivated,Row Crops,123-153,17.7
C-348767,4776,IL,40.2257,-88.9453,07/30/10,Planted/Cultivated,Row Crops,135-156,17.1
C-348898,5032,IL,41.7693,-89.235,08/05/10,Planted/Cultivated,Row Crops,80-110,12.1
C-348900,5096,IL,42.241,-89.6503,08/06/10,Planted/Cultivated,Row Crops,132-160,13.8
C-348576,5108,IL,38.7209,-88.752,08/14/10,Forested Upland,Deciduous Forest,121-156,13.5
C-348569,5356,IL,38.2136,-88.1738,08/13/10,Planted/Cultivated,Row Crops,117-150,15.2
C-348483,5384,IL,39.5051,-90.1671,08/15/10,Herbaceous Upland,Grasslands/Herbaceous,124-150,19.9
C-348891,5544,IL,41.6414,-87.8563,08/05/10,Forested Upland,Mixed Forest,82-156,23.9
C-348765,5800,IL,40.8614,-90.4378,08/02/10,Planted/Cultivated,Row Crops,117-150,17.8
C-348566,5876,IL,37.762,-88.7798,08/12/10,Planted/Cultivated,Pasture/Hay,122-160,15.9
C-348879,6056,IL,41.3196,-89.3313,08/02/10,Forested Upland,Deciduous Forest,120-149,13.3
C-348488,6132,IL,39.5482,-89.3165,08/15/10,Planted/Cultivated,Urban/Recreational Grasses,129-160,16.6
C-348897,6200,IL,42.2371,-88.9006,08/05/10,Planted/Cultivated,Row Crops,70-102,11
C-348882,6312,IL,41.446,-88.5413,08/03/10,Planted/Cultivated,Row Crops,121-156,11.3
C-348745,6568,IL,40.5596,-88.7989,07/30/10,Planted/Cultivated,Row Crops,136-157,20.9
C-348476,6672,IL,39.6686,-87.6914,08/16/10,Planted/Cultivated,Pasture/Hay,115-160,16.3
C-348601,6824,IL,40.4299,-90.4483,09/28/10,Planted/Cultivated,Pasture/Hay,130-150,14.6
C-348561,6900,IL,37.6374,-89.0542,08/11/10,Forested Upland,Mixed Forest,89-125,20.2
C-348766,7080,IL,41.5848,-90.1458,08/02/10,Planted/Cultivated,Row Crops,125-161,13.6
C-348490,7156,IL,39.4717,-88.1873,08/16/10,Planted/Cultivated,Urban/Recreational Grasses,120-160,20.1
C-348481,7176,IL,39.6541,-90.2838,08/15/10,Forested Upland,Mixed Forest,121-151,17.2
C-348880,7336,IL,41.5197,-89.0827,08/02/10,Forested Upland,Mixed Forest,123-159,11.8
C-348743,7592,IL,39.9975,-88.1178,07/30/10,Planted/Cultivated,Row Crops,120-140,16
C-348750,7848,IL,39.8751,-90.0942,07/31/10,Planted/Cultivated,Row Crops,130-160,16.2
C-348568,7924,IL,38.1185,-88.4933,08/13/10,Planted/Cultivated,Pasture/Hay,122-158,16.8
C-348889,7952,IL,41.0257,-87.5682,08/04/10,Planted/Cultivated,Row Crops,110-154,6.3
