Top5_LabID,SiteID,StateID,Latitude,Longitude,CollDate,LandCover1,LandCover2,Top5_Depth,Top5_Pb
C-312956,143,UT,41.8231,-113.4152,06/11/08,Planted/Cultivated,Pasture/Hay,0-5,21.2
C-312973,155,UT,38.3714,-110.893,06/28/08,Barren,Bare Rock/Sand/Clay,0-5,18.5
C-312929,303,UT,38.1571,-113.2444,06/24/08,Shrubland,Shrubland,0-5,15.5
C-312985,315,UT,40.7173,-109.3518,06/16/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,13.4
C-312941,411,UT,37.7849,-109.3083,07/01/08,Shrubland,Shrubland,0-5,15.3
C-312978,571,UT,39.7637,-112.2872,06/21/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,14
C-313000,667,UT,38.9385,-109.9643,06/30/08,Barren,Transitional,0-5,18.9
N.S.,763,UT,40.6518,-113.242,06/12/08,Shrubland,Shrubland,N.S.,
C-313039,827,UT,41.58,-112.254,06/10/08,Shrubland,Shrubland,0-5,37.8
C-313053,859,UT,38.6311,-111.9814,06/22/08,Forested Upland,Evergreen Forest,0-5,21.6
C-312972,1019,UT,40.8138,-113.7565,06/12/08,Barren,Bare Rock/Sand/Clay,0-5,16.7
C-312948,1071,UT,38.7696,-112.9928,06/24/08,Shrubland,Shrubland,0-5,15.8
C-313016,1179,UT,37.8093,-110.6288,06/28/08,Shrubland,Shrubland,0-5,12.5
C-312979,1327,UT,37.4334,-113.0548,07/07/08,Forested Upland,Deciduous Forest,0-5,13.4
C-313030,1339,UT,39.973,-110.2908,06/18/08,Shrubland,Shrubland,0-5,12.8
C-313038,1435,UT,39.8222,-109.5275,06/17/08,Shrubland,Shrubland,0-5,19.6
N.S.,1595,UT,40.295,-111.7493,06/14/08,Planted/Cultivated,Pasture/Hay,N.S.,
C-313025,1787,UT,39.6775,-113.0293,06/20/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,28.3
C-312975,1851,UT,41.803,-111.3555,06/09/08,Planted/Cultivated,Pasture/Hay,0-5,0.9
C-313029,1883,UT,39.0514,-111.8428,06/22/08,Planted/Cultivated,Pasture/Hay,0-5,10.7
N.S.,2043,UT,41.5937,-112.6657,06/11/08,Herbaceous Upland,Grasslands/Herbaceous,N.S.,
C-313044,2095,UT,38.1999,-112.3459,06/26/08,Shrubland,Shrubland,0-5,21.1
C-313067,2203,UT,38.2736,-109.5677,06/30/08,Shrubland,Shrubland,0-5,7
C-313036,2363,UT,39.9799,-109.6902,06/17/08,Shrubland,Shrubland,0-5,22.7
C-312964,2459,UT,39.1974,-110.0761,06/30/08,Shrubland,Shrubland,0-5,10.7
